"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "JSON with Comments", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\1-git\prod\dev-soodam\src\components\ui\TextFiledPrice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 6, 10, 106
"d:\1-git\prod\dev-soodam\src\components\ui\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"d:\1-git\prod\dev-soodam\src\components\ui\loading\FullInlineLoading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 3, 71
"d:\1-git\prod\dev-soodam\src\components\ui\loading\FullScreenLoading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\1-git\prod\dev-soodam\src\components\ui\loading\InlineLoading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 1, 0, 69
"d:\1-git\prod\dev-soodam\src\components\ui\loading\LoadingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 1, 3, 20
"d:\1-git\prod\dev-soodam\src\components\ui\loading\PageTransitionLoading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 7, 39
"d:\1-git\prod\dev-soodam\src\components\user\LogoutButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 2, 4, 35
"d:\1-git\prod\dev-soodam\src\components\user\ProtectedRouteWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 34
"d:\1-git\prod\dev-soodam\src\components\user\SubscriptionCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 3, 4, 30
"d:\1-git\prod\dev-soodam\src\components\user\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\1-git\prod\dev-soodam\src\hooks\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 1, 7
"d:\1-git\prod\dev-soodam\src\hooks\use-filter.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"d:\1-git\prod\dev-soodam\src\hooks\useChangeRoute.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\1-git\prod\dev-soodam\src\hooks\useDebounce.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
